"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","34.76","35.50","35.57","34.69","696.14K","-2.08%"
"01/01/2023","35.50","33.62","36.80","32.78","11.43M","4.57%"
"12/01/2022","33.95","36.71","36.93","32.28","13.05M","-6.94%"
"11/01/2022","36.48","33.46","36.61","32.20","13.54M","10.51%"
"10/01/2022","33.01","31.35","33.26","29.64","15.71M","8.69%"
"09/01/2022","30.37","34.95","36.84","30.23","19.95M","-14.01%"
"08/01/2022","35.32","37.74","38.15","35.03","16.84M","-7.49%"
"07/01/2022","38.18","35.37","38.29","33.02","17.72M","8.01%"
"06/01/2022","35.35","40.57","42.74","32.85","25.46M","-12.15%"
"05/01/2022","40.24","37.50","40.72","36.57","24.39M","6.31%"
"04/01/2022","37.85","37.64","41.21","36.66","19.45M","0.66%"
"03/01/2022","37.60","34.32","38.19","34.18","33.18M","10.72%"
"02/01/2022","33.96","31.75","33.99","31.66","26.88M","6.96%"
"01/01/2022","31.75","30.42","32.85","29.54","21.31M","4.68%"
"12/01/2021","30.33","30.15","30.87","28.89","17.84M","2.29%"
"11/01/2021","29.65","33.30","34.60","29.17","26.41M","-10.40%"
"10/01/2021","33.09","31.70","34.73","31.36","15.90M","4.42%"
"09/01/2021","31.69","30.41","32.09","30.33","18.04M","4.07%"
"08/01/2021","30.45","33.10","33.47","29.63","19.10M","-7.87%"
"07/01/2021","33.05","32.15","33.51","30.06","18.63M","4.03%"
"06/01/2021","31.77","31.18","34.25","30.81","27.52M","-1.70%"
"05/01/2021","32.32","31.08","32.73","30.83","18.95M","4.73%"
"04/01/2021","30.86","28.99","31.25","28.61","17.51M","7.00%"
"03/01/2021","28.84","25.96","30.95","25.92","39.58M","13.59%"